word,idf,doc_num,index,保险,银行债券,基金,外汇,期货,科技,股票,黄金,total_freq
龙虎榜,8.543400136581182,42,14159,1,0,5,0,1,0,56,0,63
占盘,13.935717559359944,1,14160,0,0,0,0,0,0,4,0,4
中投,8.981521248973069,31,14161,5,4,4,0,0,0,32,0,45
北路,11.61378946447258,5,14162,1,0,0,0,0,0,5,0,6
架,9.61378946447258,20,14163,2,0,1,0,0,4,32,2,41
模块,8.180830057196475,54,14164,7,4,14,0,4,31,23,1,84
彭浩,11.935717559359944,4,14165,0,0,1,0,0,0,3,0,4
减灾,10.350755058638786,12,14166,7,0,0,0,2,1,3,0,13
股盘,10.235277841218851,13,14167,0,0,0,0,0,0,14,0,14
飞行,9.61378946447258,20,14168,3,0,0,0,0,2,44,1,50
细胞,8.89132344000149,33,14169,9,0,3,0,1,1,42,0,56
低开,6.328387245610332,195,14170,0,5,4,20,15,3,188,23,258
管理部,7.668931018665042,77,14171,33,32,23,1,4,0,41,0,134
流通盘,11.61378946447258,5,14172,0,1,0,0,0,0,4,0,5
爆买,11.61378946447258,5,14173,0,0,0,1,0,1,1,2,5
消防,11.12836263730234,7,14174,0,0,0,0,1,0,6,0,7
中华人民共和国,6.958437635860027,126,14175,34,32,21,7,1,23,73,2,193
万及,10.61378946447258,10,14176,0,0,0,0,0,1,9,0,10
森林,9.543400136581182,21,14177,2,0,0,1,5,6,11,5,30
连阳,9.476285940722645,22,14178,1,0,0,5,2,0,6,11,25
换手率,7.981521248973068,62,14179,1,0,50,1,3,0,52,1,108
草原,12.350755058638786,3,14180,0,0,0,0,0,0,9,0,9
越声,12.350755058638786,3,14181,0,0,0,0,0,0,5,0,5
干细胞,11.935717559359944,4,14182,0,0,0,0,0,0,14,0,14
救灾,10.476285940722645,11,14183,16,0,2,0,0,1,2,0,21
世嘉,10.476285940722645,11,14184,9,0,1,0,0,0,9,0,19
防灾,9.935717559359944,16,14185,22,0,0,0,1,0,3,0,26
宝利,13.935717559359944,1,14186,0,0,0,0,0,0,3,0,3
清扬,11.935717559359944,4,14187,1,0,0,0,0,0,3,0,4
航空器,11.12836263730234,7,14188,0,0,0,0,3,0,9,0,12
大道,9.476285940722645,22,14189,4,2,1,0,0,0,22,0,29
四家,7.090227508415568,115,14190,50,21,14,1,5,11,50,2,154
西藏,7.806434542414976,70,14191,26,2,21,0,2,1,122,0,174
应急,7.335804717172816,97,14192,30,4,0,13,41,23,30,5,146
中铝,9.848254718109605,17,14193,1,12,0,0,7,0,32,0,52
救援,8.89132344000149,33,14194,43,0,1,2,0,2,11,1,60
通航,11.12836263730234,7,14195,1,0,0,0,1,0,8,0,10
启航,10.128362637302338,14,14196,0,0,13,0,1,1,1,3,19
双顶,9.76579255791763,18,14197,0,0,0,3,0,0,0,16,19
Economies,7.935717559359943,64,14198,0,0,0,5,0,0,0,268,273
由此看来,9.128362637302338,28,14199,14,1,2,1,0,3,7,2,30
认缴,9.476285940722645,22,14200,8,2,10,0,1,0,12,0,33
蚌埠,11.61378946447258,5,14201,2,0,0,0,0,0,3,0,5
六位,10.935717559359944,8,14202,1,0,0,3,1,1,1,1,8
宋清辉,8.263292217388447,51,14203,58,3,2,2,1,3,15,0,84
铺垫,9.235277841218851,26,14204,2,3,3,5,1,3,5,5,27
休整,10.61378946447258,10,14205,1,1,0,4,1,0,4,0,11
推开,11.12836263730234,7,14206,4,0,0,0,1,0,3,0,8
充实,8.180830057196475,54,14207,24,12,9,5,4,2,11,0,67
及原,13.935717559359944,1,14208,1,0,0,0,0,0,0,0,1
建安,10.76579255791763,9,14209,6,0,0,0,2,0,4,0,12
频,10.028826963751424,15,14210,1,5,2,0,0,4,3,0,15
顺次,12.350755058638786,3,14211,1,0,0,0,0,0,2,0,3
其拟,10.350755058638786,12,14212,6,0,0,0,0,1,7,0,14
国元系,12.350755058638786,3,14213,3,0,0,0,0,0,7,0,10
根,10.76579255791763,9,14214,4,1,0,0,0,0,4,2,11
七家,10.76579255791763,9,14215,3,0,3,1,0,0,5,0,12
批筹,9.848254718109605,17,14216,19,2,0,0,0,0,2,0,23
顺理成章,10.476285940722645,11,14217,4,0,0,1,2,1,3,0,11
科化,12.350755058638786,3,14218,8,0,0,0,0,0,8,0,16
资金额,8.687790045916358,38,14219,4,3,10,0,1,2,31,0,51
之位,9.476285940722645,22,14220,7,0,2,9,0,2,5,6,31
雷鸣,11.350755058638786,6,14221,8,1,31,0,0,0,8,0,48
可追溯,10.028826963751424,15,14222,6,1,3,1,0,1,2,1,15
控股权,8.180830057196475,54,14223,3,3,2,0,1,1,61,0,71
谋取,9.76579255791763,18,14224,8,4,1,1,0,1,6,0,21
年国元,12.935717559359944,2,14225,3,0,0,0,0,0,0,0,3
金融公司,8.543400136581182,42,14226,4,35,6,5,0,5,65,1,121
谋,10.350755058638786,12,14227,8,3,0,0,0,0,5,0,16
流通性,10.476285940722645,11,14228,2,1,2,1,2,0,4,1,13
常有,11.61378946447258,5,14229,1,0,1,0,1,0,3,0,6
国元,8.935717559359942,32,14230,105,7,3,0,0,0,75,0,190
日报,7.065352839776539,117,14231,1,2,4,8,29,6,82,3,135
注册量,12.350755058638786,3,14232,3,0,0,0,0,1,3,0,7
非住宅,10.350755058638786,12,14233,0,0,0,1,0,0,13,1,15
宗,8.053074509998101,59,14234,1,7,2,0,3,2,133,3,151
注册处,11.61378946447258,5,14235,0,0,1,0,0,0,4,0,5
大豪,12.350755058638786,3,14236,0,0,4,0,0,0,2,0,6
文化产业,9.61378946447258,20,14237,0,3,3,2,0,4,16,0,28
联接,8.41215560330293,46,14238,1,1,74,0,0,2,4,5,87
换购,10.76579255791763,9,14239,0,0,15,0,0,0,4,0,19
样本股,10.350755058638786,12,14240,0,0,12,0,0,0,4,0,16
首只,8.806434542414976,35,14241,4,5,20,0,0,0,7,1,37
管辖,9.291861369585218,25,14242,2,2,9,5,5,5,4,0,32
为待选,11.12836263730234,7,14243,0,0,7,0,0,0,0,0,7
中证央企,10.028826963751424,15,14244,0,0,31,0,0,0,0,0,31
习,9.687790045916357,19,14245,2,0,2,1,7,1,10,0,23
首募,8.350755058638786,48,14246,2,7,73,0,0,0,1,0,83
股票价值,10.935717559359944,8,14247,0,0,1,0,1,0,6,0,8
功能定位,10.76579255791763,9,14248,4,3,1,0,1,0,2,0,11
较具,10.76579255791763,9,14249,0,0,8,1,0,0,0,0,9
家央企,10.76579255791763,9,14250,0,0,7,0,0,0,2,0,9
投中,10.61378946447258,10,14251,0,0,13,0,0,1,6,0,20
知会,10.235277841218851,13,14252,0,0,0,0,0,0,15,0,15
KS,12.350755058638786,3,14253,0,1,0,0,0,0,1,1,3
受困,9.687790045916357,19,14254,3,0,0,8,0,4,2,2,19
Gareth,11.61378946447258,5,14255,0,0,0,3,0,0,2,1,6
Ross,9.07773656423237,29,14256,0,0,0,6,1,0,8,19,34
所载,9.61378946447258,20,14257,0,0,0,0,1,0,19,0,20
两名,7.4121556033029306,92,14258,6,2,9,25,6,9,40,18,115
Adnan,13.935717559359944,1,14259,0,0,0,0,0,0,2,0,2
Ahmed,12.935717559359944,2,14260,0,0,0,0,0,0,2,1,3
云锋,10.235277841218851,13,14261,2,0,0,0,0,23,8,0,33
厂区,9.61378946447258,20,14262,3,0,0,0,5,5,19,0,32
拖,9.350755058638786,24,14263,3,0,10,3,2,7,13,1,39
陈刚,12.350755058638786,3,14264,0,0,0,0,2,5,1,0,8
根本无法,10.76579255791763,9,14265,0,2,0,2,1,4,2,0,11
李开,11.935717559359944,4,14266,0,0,0,0,0,18,0,0,18
水漂,11.350755058638786,6,14267,0,1,1,0,0,2,2,0,6
上班,9.543400136581182,21,14268,3,0,1,3,5,3,9,0,24
OV,10.61378946447258,10,14269,0,1,0,0,0,13,1,0,15
塞班,11.350755058638786,6,14270,0,0,0,0,0,5,15,0,20
更新换代,10.128362637302338,14,14271,0,0,3,0,2,6,4,0,15
工业园,10.235277841218851,13,14272,0,3,0,0,1,6,12,0,22
土壤,8.726264193730993,37,14273,4,2,0,0,24,5,7,4,46
供货,8.89132344000149,33,14274,1,0,0,1,8,24,21,0,55
拖到,12.350755058638786,3,14275,0,1,0,1,0,1,0,0,3
分管,8.509452804657844,43,14276,22,19,12,2,3,2,7,3,70
跳舞,11.935717559359944,4,14277,0,0,0,0,0,2,1,4,7
手上,9.235277841218851,26,14278,5,1,2,0,6,5,7,3,29
欠下,12.350755058638786,3,14279,0,0,0,0,0,1,2,0,3
投出,10.61378946447258,10,14280,0,0,0,2,0,4,3,2,11
盟友,7.848254718109604,68,14281,1,0,0,37,17,8,9,18,90
世界纪录,11.61378946447258,5,14282,0,0,0,0,0,4,0,1,5
锤子,9.543400136581182,21,14283,0,0,0,1,0,162,0,3,166
疯狂,6.880435123858754,133,14284,0,6,15,34,20,32,33,23,163
赌债,11.935717559359944,4,14285,0,0,0,1,0,6,0,0,7
紧逼,11.12836263730234,7,14286,1,0,2,1,0,4,0,0,8
俞雷,11.61378946447258,5,14287,0,3,0,0,0,24,0,0,27
眼睛,9.543400136581182,21,14288,5,3,6,0,0,4,4,2,24
强悍,11.935717559359944,4,14289,0,0,0,0,0,3,1,0,4
不计,8.765792557917631,36,14290,4,0,7,0,3,4,37,1,56
品牌手机,11.350755058638786,6,14291,0,0,0,0,0,5,1,0,6
稻草,10.476285940722645,11,14292,4,0,0,0,3,2,4,2,15
停工,8.543400136581182,42,14293,1,2,0,0,28,2,28,1,62
劳动合同,10.028826963751424,15,14294,8,2,0,0,2,3,17,0,32
新入,10.935717559359944,8,14295,2,0,0,0,0,3,2,1,8
多亩,11.12836263730234,7,14296,2,0,0,0,4,1,0,0,7
渠道商,10.128362637302338,14,14297,3,1,0,0,1,10,4,0,19
亿到,10.476285940722645,11,14298,0,0,0,0,0,7,6,0,13
补偿金,10.128362637302338,14,14299,8,0,0,0,2,7,6,0,23
热播,10.61378946447258,10,14300,1,1,0,0,0,7,1,1,11
多亿元,7.6319368111828405,79,14301,20,27,14,0,3,9,17,0,90
升任,9.350755058638786,24,14302,21,5,2,3,0,3,3,0,37
全自动,10.350755058638786,12,14303,0,1,0,0,1,6,7,0,15
智能机,10.235277841218851,13,14304,0,1,1,0,0,9,5,0,16
无人机,9.61378946447258,20,14305,8,0,0,0,0,17,56,0,81
誉鑫,13.935717559359944,1,14306,0,0,0,0,0,7,0,0,7
吹牛,12.350755058638786,3,14307,0,0,0,0,0,2,1,0,3
遮羞布,12.935717559359944,2,14308,0,0,1,0,0,1,0,0,2
好几个,10.76579255791763,9,14309,1,1,0,4,1,4,0,0,11
超限,11.12836263730234,7,14310,0,0,4,0,8,2,0,0,14
骆驼,11.61378946447258,5,14311,0,2,0,0,0,2,3,0,7
对金立,11.61378946447258,5,14312,0,0,0,0,0,6,0,0,6
综艺节目,10.235277841218851,13,14313,0,1,0,0,0,12,5,0,18
局者,11.61378946447258,5,14314,0,0,0,0,0,4,1,0,5
还债,9.180830057196475,27,14315,0,11,1,2,2,4,10,1,31
煎熬,9.543400136581182,21,14316,0,1,7,3,2,3,4,2,22
垂直,7.668931018665042,77,14317,11,4,7,1,5,67,38,0,133
物料,9.235277841218851,26,14318,0,1,3,1,10,5,15,0,35
清新,11.935717559359944,4,14319,0,0,1,0,0,2,2,0,5
不好过,9.07773656423237,29,14320,1,4,2,3,1,8,9,2,30
全额,7.668931018665042,77,14321,22,19,5,3,3,14,32,2,100
贴片,12.350755058638786,3,14322,0,0,0,0,0,2,0,2,4
金立,10.350755058638786,12,14323,0,30,0,0,0,187,8,0,225
住宿费,10.61378946447258,10,14324,0,3,0,0,0,1,12,0,16
代,8.128362637302338,56,14325,9,17,13,1,6,9,23,2,80
代理商,8.806434542414976,35,14326,1,3,0,0,19,27,21,0,71
刘立荣,10.76579255791763,9,14327,0,8,0,0,0,109,6,0,123
澳门,7.765792557917631,72,14328,5,3,0,2,3,9,102,0,124
调侃,10.028826963751424,15,14329,0,1,1,1,1,8,3,1,16
跟风,8.128362637302338,56,14330,2,2,9,0,9,3,38,6,69
替换,9.07773656423237,29,14331,0,3,3,3,0,6,11,3,29
爆品,11.935717559359944,4,14332,0,0,0,0,0,4,0,0,4
捆绑,9.235277841218851,26,14333,6,9,1,0,3,13,7,0,39
遣散,12.350755058638786,3,14334,0,0,0,0,0,2,1,0,3
拉锯战,9.687790045916357,19,14335,1,0,0,5,0,6,1,8,21
引资,10.76579255791763,9,14336,3,4,0,0,0,1,3,0,11
荣耀,8.650315340497693,39,14337,0,0,2,1,0,79,16,1,99
赞助,9.76579255791763,18,14338,0,1,0,0,0,11,12,0,24
间断,11.350755058638786,6,14339,1,0,0,0,0,1,4,0,6
广告投放,9.76579255791763,18,14340,0,0,0,0,0,9,11,1,21
运转,8.291861369585218,50,14341,5,6,8,7,8,11,16,0,61
摇摆,9.76579255791763,18,14342,1,1,0,8,4,4,1,2,21
催熟,12.350755058638786,3,14343,0,0,0,0,1,1,1,0,3
一副,11.12836263730234,7,14344,0,0,0,0,1,3,3,0,7
打响,8.41215560330293,46,14345,6,5,4,2,7,16,14,3,57
人事变动,8.128362637302338,56,14346,36,5,4,1,0,17,16,0,79
成品,8.207797104796743,53,14347,0,0,0,0,70,3,11,0,84
电子科技,10.350755058638786,12,14348,2,0,2,2,0,3,7,0,16
天文数字,11.935717559359944,4,14349,0,1,0,0,1,3,0,0,5
老兵,9.848254718109605,17,14350,2,1,6,2,0,5,3,1,20
赌博,9.235277841218851,26,14351,1,0,1,3,3,27,12,0,47
吹风会,10.235277841218851,13,14352,0,4,1,7,1,0,0,0,13
国新办,10.235277841218851,13,14353,2,4,1,4,0,0,3,0,14
决定性,7.785970439855261,71,14354,8,4,8,15,15,3,7,16,76
定力,9.07773656423237,29,14355,7,2,2,4,1,0,19,0,35
一刀切,8.154357845835284,55,14356,3,24,3,2,60,0,8,0,100
漫灌,9.291861369585218,25,14357,0,8,2,10,4,0,5,0,29
好多个,11.935717559359944,4,14358,0,1,0,2,0,1,0,0,4
纪志宏,12.350755058638786,3,14359,0,3,0,1,0,0,0,0,4
适宜,8.381128707682306,47,14360,4,3,3,13,15,0,8,8,54
李波,11.935717559359944,4,14361,0,0,0,5,0,0,0,0,5
闸门,9.848254718109605,17,14362,0,10,0,6,2,0,3,1,22
好度,13.935717559359944,1,14363,0,0,0,1,0,0,0,0,1
切实有效,10.935717559359944,8,14364,0,2,0,2,0,1,3,0,8
孙璐璐,9.41215560330293,23,14365,1,17,0,4,1,0,0,0,23
住户,9.76579255791763,18,14366,4,4,0,7,0,1,7,0,23
口径,7.053074509998101,118,14367,28,51,6,14,6,7,58,0,170
朱鹤新,11.12836263730234,7,14368,0,3,1,6,2,0,0,0,12
大水,9.291861369585218,25,14369,0,8,2,10,4,0,5,0,29
结合点,11.61378946447258,5,14370,0,0,0,0,0,1,4,0,5
民银,11.61378946447258,5,14371,0,0,0,0,0,0,7,0,7
筹码,7.891323440001489,66,14372,5,4,8,4,1,12,42,6,82
中国工商银行,8.509452804657844,43,14373,12,8,5,1,3,1,12,43,85
钱包,8.350755058638786,48,14374,9,17,15,0,0,35,39,0,115
王蓬博,12.935717559359944,2,14375,0,2,0,0,0,1,0,0,3
上受,10.61378946447258,10,14376,0,1,0,6,0,0,1,2,10
刘双霞,12.350755058638786,3,14377,0,1,0,2,0,0,0,0,3
使用者,9.235277841218851,26,14378,3,2,0,2,1,17,7,0,32
赛马,12.350755058638786,3,14379,0,1,0,0,0,2,0,0,3
博彩,8.981521248973069,31,14380,2,1,1,0,0,6,54,0,64
费力,12.350755058638786,3,14381,0,1,1,0,0,0,0,1,3
双线,10.76579255791763,9,14382,0,1,1,3,0,5,1,0,11
后易,12.935717559359944,2,14383,0,2,0,0,0,0,1,0,3
金融中心,7.848254718109604,68,14384,4,17,1,3,9,20,41,3,98
陈起,12.935717559359944,2,14385,0,2,0,0,0,1,0,0,3
金管局,8.935717559359942,32,14386,1,11,0,75,2,0,35,0,124
国人,9.41215560330293,23,14387,5,2,3,5,2,5,8,0,30
超市,8.004980221797057,61,14388,1,2,6,2,3,58,54,1,127
入驻,7.560678128013018,83,14389,4,2,39,0,1,42,39,1,128
成倍,11.61378946447258,5,14390,1,1,2,0,0,0,2,0,6
本地人,11.935717559359944,4,14391,0,1,0,0,0,3,0,0,4
看做,9.687790045916357,19,14392,1,2,3,4,4,5,2,0,21
通行证,11.61378946447258,5,14393,0,3,0,0,0,1,1,0,5
发红包,11.61378946447258,5,14394,0,4,0,0,0,2,1,0,7
Pay,11.61378946447258,5,14395,1,1,0,0,0,12,0,0,14
多用户,10.028826963751424,15,14396,1,1,2,0,0,9,2,0,15
出招,12.350755058638786,3,14397,0,2,0,0,0,0,1,0,3
上交,10.61378946447258,10,14398,0,5,2,1,1,1,2,0,12
百佳,12.350755058638786,3,14399,0,1,0,0,0,2,3,0,6
薛洪言,11.350755058638786,6,14400,0,5,0,0,0,2,2,0,9
香港地区,9.935717559359944,16,14401,12,3,1,4,1,1,7,3,32
万间,11.12836263730234,7,14402,1,1,0,0,0,4,10,0,16
必不可少,9.848254718109605,17,14403,3,1,1,3,1,5,1,2,17
WeChat,10.61378946447258,10,14404,0,1,0,0,0,8,4,0,13
红包,9.291861369585218,25,14405,0,9,5,0,0,21,8,0,43
殆尽,9.028826963751424,30,14406,5,2,1,10,2,2,7,6,35
儒,12.350755058638786,3,14407,0,2,1,0,0,1,0,0,4
各有不同,10.61378946447258,10,14408,2,2,1,0,0,1,3,1,10
打基础,11.935717559359944,4,14409,1,1,0,0,0,2,0,0,4
捐书,11.935717559359944,4,14410,8,0,1,0,0,0,0,0,9
遨游,12.350755058638786,3,14411,1,0,0,1,0,0,1,0,3
盛宴,9.41215560330293,23,14412,1,0,5,0,0,9,10,2,27
家庭幸福,12.935717559359944,2,14413,1,0,0,0,0,1,0,0,2
少年儿童,12.350755058638786,3,14414,2,0,0,0,0,1,0,0,3
和谐,8.004980221797057,61,14415,64,1,4,3,9,8,21,0,110
万册,11.935717559359944,4,14416,1,0,0,0,0,3,0,0,4
亲子,10.935717559359944,8,14417,5,0,0,0,0,3,3,0,11
幕天,12.350755058638786,3,14418,5,0,0,0,0,0,0,0,5
夏令营,12.350755058638786,3,14419,4,0,2,0,0,0,0,0,6
多组,11.61378946447258,5,14420,2,3,0,0,0,0,0,0,5
万人次,9.128362637302338,28,14421,20,0,1,0,3,6,34,0,64
数百位,12.350755058638786,3,14422,3,0,0,0,0,0,0,0,3
最美,12.350755058638786,3,14423,3,0,0,0,0,0,0,0,3
执,10.61378946447258,10,14424,1,0,2,0,0,2,6,0,11
决赛,12.350755058638786,3,14425,1,0,0,0,0,1,3,0,5
志在,10.935717559359944,8,14426,3,0,0,1,0,1,3,0,8
图书,9.687790045916357,19,14427,3,0,6,0,1,51,10,0,71
能量,7.86962836890217,67,14428,1,2,3,8,3,17,47,2,83
好书,12.935717559359944,2,14429,5,0,0,0,0,0,1,0,6
善心,12.350755058638786,3,14430,1,0,1,0,0,0,1,0,3
亲密,9.61378946447258,20,14431,1,2,0,6,0,1,9,6,25
筑,11.350755058638786,6,14432,1,0,0,0,4,0,1,0,6
书籍,11.12836263730234,7,14433,7,0,1,0,1,1,0,1,11
精彩纷呈,11.935717559359944,4,14434,1,0,0,1,2,0,0,0,4
京津冀,7.765792557917631,72,14435,11,17,6,0,104,0,25,0,163
健康成长,10.61378946447258,10,14436,3,1,3,0,0,2,1,0,10
滨海,9.687790045916357,19,14437,1,0,0,0,1,1,26,0,29
打卡,12.935717559359944,2,14438,1,0,0,0,0,0,3,0,4
少年,9.935717559359944,16,14439,11,0,1,0,1,9,1,0,23
讲述,8.57816555474186,41,14440,7,4,6,0,2,14,14,1,48
网红,9.128362637302338,28,14441,4,0,7,0,6,21,6,0,44
观众,8.765792557917631,36,14442,2,0,0,0,2,35,13,1,53
成千上万,10.76579255791763,9,14443,1,1,0,2,0,4,0,2,10
印尼,7.194250572958795,107,14444,17,10,3,86,63,30,38,18,265
金十,10.935717559359944,8,14445,0,0,0,0,1,0,2,5,8
速报,10.935717559359944,8,14446,0,0,0,1,0,0,0,7,8
肩负起,11.12836263730234,7,14447,0,1,2,0,0,0,3,1,7
两国关系,10.76579255791763,9,14448,1,0,0,2,1,0,0,5,9
互征,10.028826963751424,15,14449,0,0,0,5,1,0,0,13,19
轰炸,9.687790045916357,19,14450,0,0,1,4,0,3,2,12,22
IEA,8.935717559359942,32,14451,0,0,0,9,24,0,2,23,58
其能,11.61378946447258,5,14452,1,0,1,1,0,0,1,1,5
终将,8.981521248973069,31,14453,1,1,4,4,1,3,9,9,32
知晓,8.935717559359942,32,14454,7,1,1,1,1,10,10,3,34
新建,7.827193102581774,69,14455,6,7,3,4,28,3,41,9,101
常务副,10.128362637302338,14,14456,1,1,2,0,1,3,7,1,16
访华,11.350755058638786,6,14457,0,0,0,0,2,0,3,6,11
千二,7.476285940722645,88,14458,0,0,0,4,2,0,0,117,123
命运,7.235277841218851,104,14459,4,1,16,20,7,22,30,18,118
三位数,10.61378946447258,10,14460,0,0,0,0,2,0,4,4,10
通力合作,10.935717559359944,8,14461,1,0,0,0,2,1,3,1,8
以供,9.128362637302338,28,14462,0,0,1,1,0,0,25,2,29
NFIB,12.935717559359944,2,14463,0,0,0,0,0,0,0,2,2
交换意见,11.12836263730234,7,14464,0,0,0,2,0,0,1,5,8
需在,8.935717559359942,32,14465,2,7,2,6,1,1,4,10,33
中美关系,9.350755058638786,24,14466,0,1,1,5,9,0,6,9,31
小型企业,10.235277841218851,13,14467,1,3,0,4,1,0,2,4,15
扑朔迷离,9.350755058638786,24,14468,0,1,0,5,2,0,11,6,25
坎坷,9.935717559359944,16,14469,1,0,3,1,3,3,4,1,16
爆冷,9.235277841218851,26,14470,0,0,0,11,0,0,0,24,35
国务卿,8.291861369585218,50,14471,0,0,0,20,12,1,2,29,64
混战,10.476285940722645,11,14472,0,1,0,1,0,3,5,1,11
蓬佩奥,8.806434542414976,35,14473,0,0,0,21,13,0,0,24,58
一锤定音,11.61378946447258,5,14474,0,0,0,1,0,2,1,1,5
高油价,8.321007715244734,49,14475,0,1,1,1,34,0,7,20,64
哥伦布,10.350755058638786,12,14476,0,0,1,5,0,1,0,5,12
炸弹,9.476285940722645,22,14477,3,1,0,12,0,1,5,11,33
经贸关系,9.350755058638786,24,14478,1,0,3,12,2,1,7,4,30
IFR,10.935717559359944,8,14479,0,0,0,1,0,0,1,9,11
跌宕起伏,8.848254718109605,34,14480,0,0,3,9,3,3,5,14,37
农商,9.028826963751424,30,14481,0,80,2,0,0,0,6,1,89
现价,7.827193102581774,69,14482,10,1,1,14,3,0,53,7,89
限价,8.687790045916358,38,14483,0,3,0,2,5,3,35,9,57
日为,8.028826963751424,60,14484,3,7,16,1,4,2,37,1,71
改变命运,12.350755058638786,3,14485,0,0,1,0,1,0,0,1,3
涨破,9.350755058638786,24,14486,0,0,0,18,1,0,5,7,31
三前,12.350755058638786,3,14487,0,1,0,0,0,0,0,2,3
可圈可点,8.687790045916358,38,14488,5,4,14,1,1,1,10,2,38
最先,9.128362637302338,28,14489,4,0,4,2,1,8,9,1,29
金汇,10.476285940722645,11,14490,1,0,10,0,0,0,68,0,79
只资管,12.935717559359944,2,14491,0,0,1,0,0,0,2,0,3
撬动,8.381128707682306,47,14492,9,6,10,1,2,6,24,0,58
相差近,11.935717559359944,4,14493,1,0,0,0,0,2,1,0,4
仅用,9.476285940722645,22,14494,6,0,6,0,2,6,8,0,28
陈晨,11.12836263730234,7,14495,0,0,0,0,0,0,7,0,7
中国证券业协会,8.180830057196475,54,14496,0,5,1,0,20,0,53,0,79
实际行动,9.128362637302338,28,14497,5,2,5,2,4,3,7,1,29
晚于,9.028826963751424,30,14498,8,1,4,0,3,2,16,0,34
当属,8.806434542414976,35,14499,2,2,3,13,0,3,7,8,38
第三只,10.935717559359944,8,14500,0,0,5,0,0,0,4,0,9
警报,9.07773656423237,29,14501,1,1,11,4,0,1,15,3,36
集思录,10.476285940722645,11,14502,0,0,18,0,0,0,1,0,19
高危,10.935717559359944,8,14503,2,1,1,0,0,0,5,0,9
不定期,9.41215560330293,23,14504,2,3,36,1,0,0,7,1,50
阈值,9.687790045916357,19,14505,2,0,34,2,2,0,1,0,41
下折,9.61378946447258,20,14506,0,0,166,0,0,0,1,0,167
折算,8.263292217388447,51,14507,3,0,50,6,11,0,19,0,89
混基,10.350755058638786,12,14508,0,0,19,0,0,0,0,0,19
越跌,10.350755058638786,12,14509,0,0,8,0,1,0,9,0,18
过下,12.935717559359944,2,14510,0,0,4,0,0,0,0,0,4
柏瑞,9.180830057196475,27,14511,0,0,43,0,3,0,4,0,50
领头羊,8.726264193730993,37,14512,0,3,3,2,3,3,13,11,38
万得,9.848254718109605,17,14513,0,1,23,0,3,0,8,0,35
拉响,10.128362637302338,14,14514,1,0,6,5,0,0,3,1,16
新能,10.028826963751424,15,14515,0,0,7,0,1,0,13,0,21
母,8.848254718109605,34,14516,2,0,83,0,0,1,23,2,111
由正,10.235277841218851,13,14517,1,4,4,0,0,0,5,0,14
股基,9.41215560330293,23,14518,1,0,23,0,0,0,6,0,30
转负,9.128362637302338,28,14519,5,8,9,1,2,0,8,0,33
仅指,11.12836263730234,7,14520,2,1,4,0,0,0,1,0,8
分开,7.726264193730993,74,14521,3,8,70,3,4,3,5,0,96
投产,7.335804717172816,97,14522,1,4,0,2,81,3,68,3,162
高增值,12.350755058638786,3,14523,0,0,2,0,0,0,1,0,3
年产量,9.476285940722645,22,14524,0,0,0,0,16,0,10,1,27
转发,8.726264193730993,37,14525,7,2,4,1,0,32,9,0,55
一声,10.350755058638786,12,14526,1,0,2,0,0,5,3,1,12
大屏幕,10.350755058638786,12,14527,0,0,0,0,0,13,1,0,14
董,10.235277841218851,13,14528,3,1,1,0,0,4,5,0,14
官微,9.935717559359944,16,14529,4,1,1,0,0,7,5,0,18
微博称,11.935717559359944,4,14530,1,0,0,0,0,1,2,0,4
广为,10.76579255791763,9,14531,1,0,1,1,1,4,1,0,9
公交车,11.12836263730234,7,14532,2,0,0,0,1,2,9,0,14
照片,8.443864463030268,45,14533,13,3,2,2,4,29,6,1,60
女,8.57816555474186,41,14534,3,2,1,1,0,47,17,0,71
闹,10.235277841218851,13,14535,1,2,2,2,0,5,3,0,15
交警,10.235277841218851,13,14536,8,2,0,0,0,6,0,0,16
闯红灯,12.350755058638786,3,14537,1,0,0,0,0,3,1,0,5
切记,11.350755058638786,6,14538,1,0,0,0,0,3,2,1,7
行人,10.76579255791763,9,14539,2,0,0,0,0,4,5,0,11
小姐,10.476285940722645,11,14540,2,0,0,0,0,10,4,0,16
文明,9.476285940722645,22,14541,0,3,3,0,6,21,10,1,44
小事,12.935717559359944,2,14542,0,0,0,1,0,2,0,0,3
周举东,12.935717559359944,2,14543,0,0,0,0,0,0,2,0,2
某敏,12.935717559359944,2,14544,0,0,0,0,0,0,4,0,4
常德,8.053074509998101,59,14545,1,3,5,0,26,0,79,0,114
王利坚,11.350755058638786,6,14546,0,0,0,0,0,0,20,0,20
胡中友,12.935717559359944,2,14547,0,0,0,0,0,0,2,0,2
责任人员,8.981521248973069,31,14548,12,10,0,0,0,2,28,0,52
没收,8.053074509998101,59,14549,4,17,1,0,1,5,84,0,112
帖子,9.687790045916357,19,14550,3,0,0,2,0,4,11,4,24
题为,8.350755058638786,48,14551,3,2,2,3,6,7,36,2,61
效能,8.806434542414976,35,14552,11,4,1,0,2,4,18,0,40
按规定,7.443864463030269,90,14553,48,11,2,5,3,4,51,1,125
王京伟,12.935717559359944,2,14554,0,0,0,0,0,0,2,0,2
办公,7.706898868864061,75,14555,4,3,6,3,5,88,47,0,156
国显,12.350755058638786,3,14556,0,0,0,0,0,0,10,0,10
